Step,Time,TOTAL,Volume,Area,Angle,Length,Repulsion,Adhesion,Boundary
35298,1.74,337.442,0.0925121,52.9341,92.0737,192.305,0.0370244,0,0
35850,1.76002,337.266,0.0916641,52.951,91.8394,192.314,0.0700157,0,0
36424,1.78001,337.141,0.0907399,52.9888,91.6234,192.295,0.142796,0,0
37027,1.80001,336.957,0.0889061,53.0254,91.4181,192.304,0.119574,0,0
37618,1.82001,336.85,0.0875604,53.0508,91.2445,192.337,0.129502,0,0
38114,1.84003,336.67,0.0870035,53.0853,91.0667,192.344,0.0868291,0,0
38609,1.86001,336.527,0.0856932,53.1182,90.9099,192.358,0.0547322,0,0
39103,1.88002,336.422,0.085017,53.1433,90.7385,192.387,0.0681,0,0
39553,1.90002,336.286,0.0844522,53.1711,90.5364,192.421,0.0731845,0,0
40054,1.92003,336.106,0.0833216,53.1992,90.3337,192.459,0.0313182,0,0
40612,1.94,336.046,0.0828329,53.226,90.1162,192.503,0.117387,0,0
41193,1.96001,335.83,0.0820385,53.2517,89.8932,192.542,0.0606835,0,0
41788,1.98,335.711,0.0813938,53.2812,89.6509,192.586,0.110919,0,0
42477,2.00002,335.872,0.0793376,53.3113,89.3791,192.691,0.411182,0,0
43105,2.02001,335.562,0.0770101,53.3441,89.1396,192.783,0.217583,0,0
43762,2.04001,335.28,0.0741329,53.4048,88.9408,192.835,0.0258742,0,0
44381,2.06003,335.265,0.0732797,53.427,88.7552,192.898,0.111957,0,0
44913,2.08001,335.069,0.073355,53.3094,88.5353,193.044,0.10676,0,0
45465,2.10002,334.821,0.0716747,53.1459,88.2983,193.219,0.0854388,0,0
46106,2.12003,334.639,0.0706531,53.1531,88.119,193.233,0.0625008,0,0
46743,2.14002,334.565,0.068165,53.1595,87.9993,193.293,0.0451918,0,0
47316,2.16,334.597,0.0668258,53.171,87.8606,193.38,0.118624,0,0
47867,2.18001,334.485,0.0657571,53.1854,87.6731,193.436,0.125134,0,0
48516,2.20001,334.385,0.0648505,53.1996,87.5038,193.492,0.124776,0,0
49235,2.22002,334.23,0.0624807,53.2182,87.3954,193.532,0.0216879,0,0
50024,2.24001,334.428,0.0587705,53.2474,87.3396,193.619,0.163233,0,0
50654,2.26003,334.395,0.0576767,53.2807,87.2773,193.671,0.108215,0,0
51192,2.28,334.41,0.0573781,53.306,87.1575,193.691,0.198111,0,0
51783,2.30001,334.242,0.0554143,53.3273,87.0824,193.687,0.0895005,0,0
52397,2.32001,334.308,0.0542522,53.3493,87.0114,193.749,0.144284,0,0
52939,2.34,334.448,0.0539204,53.3819,86.9243,193.829,0.259158,0,0
53550,2.36001,334.404,0.0534307,53.4158,86.8336,193.908,0.192989,0,0
54053,2.38004,334.38,0.052942,53.4615,86.7784,193.949,0.137706,0,0
54505,2.40004,334.503,0.0520079,53.4784,86.7383,193.997,0.236823,0,0
55116,2.42,334.316,0.0511693,53.4833,86.6982,193.987,0.097281,0,0
55741,2.44002,334.358,0.0495341,53.4952,86.7048,193.968,0.140632,0,0
56445,2.46002,334.342,0.0489814,53.5021,86.644,193.996,0.150779,0,0
57264,2.48001,334.441,0.0491656,53.5323,86.6498,194.015,0.195621,0,0
57901,2.50001,334.572,0.0474366,53.5707,86.7191,194.07,0.164543,0,0
58549,2.52001,334.646,0.0461691,53.4437,86.7785,194.231,0.14769,0,0
59068,2.54,334.68,0.0459587,53.3811,86.794,194.343,0.11511,0,0
59575,2.56003,334.719,0.0458887,53.3702,86.7874,194.401,0.114952,0,0
59998,2.58003,334.756,0.0456333,53.3652,86.7829,194.437,0.125344,0,0
60509,2.60001,334.764,0.0453478,53.3658,86.7895,194.454,0.109663,0,0
61159,2.62002,334.838,0.0466408,53.3581,86.7363,194.479,0.217537,0,0
62095,2.64001,334.608,0.0464435,53.3627,86.6061,194.55,0.0432374,0,0
62978,2.66,334.96,0.0455934,53.3712,86.4847,194.681,0.377992,0,0
63889,2.68,335.197,0.0413238,53.3553,86.5264,194.905,0.369086,0,0
64598,2.70002,335.094,0.0404335,53.3506,86.4954,195.033,0.174621,0,0
65242,2.72,335.078,0.0409195,53.2013,86.4514,195.212,0.172658,0,0
65898,2.74002,335.048,0.0401274,52.994,86.4054,195.444,0.164181,0,0
66709,2.76001,335.182,0.0403035,52.9962,86.2777,195.589,0.278506,0,0
67537,2.78001,335.37,0.0417609,52.9976,86.1191,195.746,0.466328,0,0
68267,2.80002,335.218,0.0424147,53.0101,85.962,195.926,0.277979,0,0
68994,2.82,335.228,0.0412158,53.0106,85.8366,196.114,0.224987,0,0
69770,2.84001,335.232,0.0403794,53.0037,85.789,196.26,0.139821,0,0
70548,2.86002,335.218,0.041359,53.0145,85.7433,196.312,0.106831,0,0
71206,2.88003,335.418,0.0410421,53.0409,85.6961,196.34,0.299329,0,0
71895,2.90002,335.488,0.0372662,53.008,85.6824,196.528,0.231979,0,0
72715,2.92003,335.622,0.0372485,53.012,85.5458,196.771,0.255643,0,0
73514,2.94002,335.626,0.0372401,52.9293,85.3374,197.091,0.230974,0,0
74235,2.96002,335.461,0.0368319,52.6476,85.1687,197.467,0.140867,0,0
74945,2.98001,335.491,0.0367837,52.6201,85.0653,197.537,0.232361,0,0
75783,3.00002,335.417,0.0353184,52.629,84.9085,197.646,0.198258,0,0
76678,3.02001,335.582,0.0342434,52.64,84.831,197.818,0.259347,0,0
77386,3.04001,335.608,0.0342141,52.6705,84.6642,198.025,0.214158,0,0
77998,3.06002,335.586,0.0352184,52.6966,84.395,198.202,0.257052,0,0
78773,3.08001,335.613,0.0341505,52.7126,84.1701,198.443,0.253679,0,0
79348,3.10003,335.616,0.0333766,52.7366,83.9484,198.707,0.190445,0,0
79953,3.12001,335.635,0.0329667,52.7315,83.7913,198.891,0.187587,0,0
80696,3.14001,335.636,0.0337736,52.7272,83.6198,199.032,0.222641,0,0
81449,3.16002,335.805,0.033522,52.6986,83.4083,199.303,0.361842,0,0
82099,3.18002,335.646,0.0318237,52.6752,83.2119,199.517,0.210678,0,0
82721,3.20001,335.605,0.0307864,52.6698,83.0267,199.689,0.189508,0,0
83422,3.22,335.636,0.030516,52.6686,82.8759,199.81,0.251481,0,0
84240,3.24001,335.413,0.0297389,52.6538,82.7421,199.896,0.0914349,0,0
85016,3.26003,335.642,0.0297412,52.687,82.6026,200.11,0.212241,0,0
85688,3.28003,335.793,0.0301465,52.6942,82.3741,200.354,0.340604,0,0
86426,3.30002,335.598,0.028319,52.6976,82.1216,200.611,0.139311,0,0
87231,3.32002,335.759,0.0283429,52.7098,81.8952,200.869,0.257369,0,0
87909,3.34001,335.711,0.026798,52.7263,81.6709,201.101,0.186241,0,0
88736,3.36002,335.723,0.0266037,52.5752,81.4562,201.407,0.257271,0,0
89597,3.38001,335.655,0.0268564,52.5549,81.3009,201.543,0.229057,0,0
90350,3.40002,335.647,0.0257618,52.5355,81.2161,201.641,0.228446,0,0
91286,3.42001,335.553,0.0261537,52.5304,81.1344,201.745,0.117056,0,0
92260,3.44001,336.175,0.0230382,52.5718,81.0616,201.86,0.658623,0,0
93027,3.46,335.951,0.0226351,52.5996,80.8146,202.264,0.250692,0,0
93768,3.48001,336.107,0.0209745,52.5845,80.5663,202.624,0.310678,0,0
94636,3.50001,336.193,0.0183058,52.5549,80.4012,202.938,0.281101,0,0
95438,3.52001,336.295,0.0174275,52.5368,80.3262,203.136,0.278521,0,0
96328,3.54002,336.489,0.0172056,52.4969,80.266,203.323,0.386563,0,0
97124,3.56001,336.667,0.015852,52.457,80.2803,203.512,0.40137,0,0
97894,3.58002,336.738,0.0145043,52.4369,80.2786,203.708,0.300218,0,0
98723,3.60002,337.002,0.0143307,52.4069,80.267,203.901,0.41256,0,0
99617,3.62002,337.086,0.0141801,52.3815,80.2386,204.081,0.371327,0,0
100660,3.64001,337.094,0.0145388,52.3684,80.2336,204.191,0.285861,0,0
101669,3.66,337.367,0.0131903,52.4204,80.1836,204.367,0.383116,0,0
